	Slackia	Peptostreptococcus	Brachybacterium	Peptococcus	Lawsonia	Microbacterium	Brevibacterium	Turicibacter	Oscillibacter	Sphaerochaeta	Hydrogenoanaerobacterium	Coprobacillus	Anaerofustis	Vagococcus	Parvimonas	Klebsiella	Nosocomiicoccus	Kordia	Tepidimonas	Kluyvera	Luteococcus	Brachymonas	Peptoniphilus	Abiotrophia	Paenibacillus	Pasteurella	Lactobacillus	Bradyrhizobium	Victivallis	Johnsonella	Serratia	Bilophila	Pseudoxanthomonas	Acetanaerobacterium	Olsenella	Megasphaera	Elizabethkingia	Pediococcus	Enterococcus	Granulicatella	Porphyrobacter	Enterorhabdus	Phyllobacterium	Papillibacter	Campylobacter	Christensenella	Marvinbryantia	Macrococcus	Sporobacter	Aggregatibacter	Treponema	Edwardsiella	Fulvivirga	Aeromonas	Paracoccus	Mobiluncus	Raoultella	Pseudoramibacter	Grimontella	Coriobacterium	Devosia	Bacillus	Paraprevotella	Gemmiger	Robinsoniella	Solobacterium	Mycoplasma	Rummeliibacillus	Pyrobaculum	Microlunatus	Denitrobacterium	Phascolarctobacterium	Sphingobium	Leuconostoc	Prevotella	Peptoclostridium	Butyrivibrio	Paraeggerthella	Anaerococcus	Anaerobiospirillum	Blautia	Flavobacterium	Parabacteroides	Asteroleplasma	Dialister	Pseudobutyrivibrio	Lemna	Comamonas	Arthrobacter	Oribacterium	Salmonella	Cronobacter	Tannerella	Moraxella	Sutterella	Anaerovibrio	Corynebacterium	Negativicoccus	Anaerosporobacter	Sanguibacter	Cardiobacterium	Cupriavidus	Enterobacter	Brevibacillus	Streptococcus	Odoribacter	Sphingobacterium	Cellulosilyticum	Microcystis	Hafnia	Lachnobacterium	Ruminococcus	Lachnoanaerobaculum	Acetivibrio	Erysipelothrix	Butyricimonas	Vibrio	Anaerotruncus	Thermotoga	Faecalibacterium	Coprobacter	Propionibacterium	Fusibacter	Bifidobacterium	Streptomyces	Cloacibacillus	Desulfitobacterium	Elusimicrobium	Lachnospira	Succinatimonas	Listeria	Intestinimonas	Gordonia	Ornithinimicrobium	Veillonella	Finegoldia	Atopobium	Rathayibacter	Anaerofilum	Anoxybacillus	Ochrobactrum	Methylobacterium	Barnesiella	Actinobacillus	Actinomyces	Allisonella	Subdoligranulum	Parvibacter	Zymophilus	Oscillospira	Collinsella	Magnetococcus	Weissella	Xanthomonas	Helicobacter	Aeromicrobium	Pseudomonas	Spiroplasma	Hespellia	Pseudonocardia	Oxalobacter	Stenotrophomonas	Cloacibacterium	Alloprevotella	Proteus	Helcococcus	Morganella	Ethanoligenens	Sarcina	Leptotrichia	Parasutterella	Micrococcus	Kocuria	Dietzia	Gordonibacter	Murdochiella	Desulfocurvus	Syntrophococcus	Kingella	Neisseria	Rikenella	Herbaspirillum	Howardella	Bacteroides	Francisella	Mitsuokella	Anaerovorax	Mogibacterium	Roseburia	Citrobacter	Alloiococcus	Stappia	Rothia	Selenomonas	Fusobacterium	Eikenella	Capnocytophaga	Eubacterium	Porphyromonas	Sneathia	Erwinia	Gemella	Adlercreutzia	Cryptobacterium	Stomatobaculum	Dickeya	Agrobacterium	Anaerostipes	Escherichia/Shigella	Curtobacterium	Ureaplasma	Lysinibacillus	Flavonifractor	Sedimentibacter	Sphingomonas	Staphylococcus	Desulfovibrio	Varibaculum	Actinobaculum	Coprococcus	Lactonifactor	Halomonas	Arcanobacterium	Lautropia	Mesorhizobium	Anaeroglobus	Allobaculum	Fusicatenibacter	Lactococcus	Pyramidobacter	Xylanibacter	Pantoea	Pseudoflavonifractor	Butyricicoccus	Acholeplasma	Delftia	Haemophilus	Acetomicrobium	Scardovia	Brachyspira	Kosakonia	Facklamia	Eggerthella	Massilia	Gardnerella	Acidaminococcus	Lelliottia	Catabacter	Pluralibacter	Acinetobacter	Alistipes	Dorea	Holdemania	Cetobacterium	Acetobacterium	Akkermansia	Clostridium	Desulfotomaculum	Succinivibrio	Turicella	Terrahaemophilus	Megamonas	Catenibacterium	Coraliomargarita	Acetobacter	Fretibacterium	Alloscardovia
I02	229	2	0	51	0	0	0	2803	796	0	4	0	0	0	13	265	0	0	0	0	0	0	0	0	0	0	553	0	0	0	0	2	0	0	217	1811	0	0	5	13	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	1	6	114	0	0	0	0	0	0	0	0	77157	0	1512	15	0	0	3718	0	82	0	153	9	0	21	0	98	0	1	7	0	109	7239	10	0	0	0	0	0	25	0	631	31	0	0	0	0	0	2749	2	2	0	2	0	3	0	8980	0	0	0	688	0	0	0	9	111	0	0	2	0	0	34	0	0	0	0	0	2	0	0	0	61	2774	278	1	0	1	476	0	261	0	0	0	0	0	0	6	4	0	0	4	0	0	0	0	11	0	53	0	0	0	0	0	0	0	0	0	0	0	15	184	0	3725	4	2	11649	15	0	0	0	53	0	0	0	5672	0	0	0	0	0	0	0	0	0	82	185	0	0	0	74	0	0	2	83	0	0	240	0	0	0	0	1	0	0	301	52	0	0	0	2	184	0	0	207	0	0	0	0	0	5	0	0	2	0	11	0	0	3	1801	0	0	0	0	20100	0	1653	0	16	0	3166	0	0	0	0
R233	0	5	0	0	0	0	0	1711	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	23	0	0	0	0	48	0	0	0	8	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3709	0	0	67	1	0	0	0	0	25053	0	1162	0	8	0	0	0	0	0	0	0	0	0	5456	0	6	4	0	0	0	0	4	0	1616	0	0	0	0	0	0	6	0	0	0	0	0	0	0	3080	0	4	0	5857	0	0	0	0	1894	0	0	0	0	2	751	0	0	0	0	0	0	0	0	0	137	2	0	0	0	0	363	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	2	0	40974	0	0	5	0	165	0	0	0	0	0	371	0	0	9595	2	0	0	2	0	0	0	0	0	12329	188	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2917	10	0	0	0	0	742	0	0	78	0	0	0	0	0	184	0	0	0	0	0	0	0	1	3062	0	0	0	0	11746	0	2	6	18	0	6	0	0	0	0
I41	48	0	0	0	0	0	0	12	639	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2000	0	6	0	0	72	0	0	61	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	297	1	0	6	0	0	0	0	0	1	0	0	86804	0	36	26	0	0	17638	0	1130	0	124	0	0	1	0	1	0	0	0	0	651	0	2	0	0	0	0	0	0	0	231	218	0	0	0	0	0	4887	0	0	0	88	0	2	0	7477	0	0	0	556	0	0	0	0	53	0	0	2	0	0	9	0	4	0	0	0	0	0	0	0	26	2464	391	0	0	1	693	0	24	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	34	0	0	0	5	0	0	0	0	0	0	0	0	6619	0	3445	3	3	3575	0	0	0	0	51	203	0	0	9724	0	0	0	2	0	0	0	0	0	164	167	0	0	0	209	0	0	0	374	0	0	925	3	0	0	0	0	0	0	1430	9	0	0	1	4	58	0	1	4	0	0	0	0	0	24	0	0	2	0	0	0	0	2749	2357	0	0	0	0	2210	0	0	0	0	9863	8764	0	0	0	0
I50	4	0	0	0	0	0	0	14	883	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1502	0	0	0	0	57	0	0	101	13100	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	366	0	0	56266	1	5	0	2	0	9044	0	1672	0	3060	1	0	0	0	1	1	0	0	0	989	2	8	0	0	0	0	0	0	0	15	34	0	0	0	0	0	11455	0	0	0	0	0	0	0	12724	0	2	0	11246	0	0	0	0	21	0	1	0	0	0	8	0	0	0	0	0	0	0	210	0	22	1	150	0	0	1	1455	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	2	0	108	0	0	2	0	0	0	0	0	0	0	0	0	4630	0	1	13	0	4208	0	0	0	0	1	0	0	0	11969	0	0	0	2	21	4	0	0	0	679	481	0	0	0	0	0	0	0	0	0	0	2549	3	0	0	0	0	2	0	830	0	0	0	0	1	74	0	0	7	0	0	0	0	0	36	0	0	15	0	0	0	0	700	1393	0	0	0	0	1399	0	0	1	1	5225	4207	0	0	0	0
R244	0	0	0	0	0	0	0	499	363	0	11	24	0	0	0	3	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	4	0	3	0	22	0	0	163	1	0	10	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	105	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	1	71	4	0	0	0	0	15512	0	1	0	365	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2366	733	0	0	0	0	0	4564	0	0	0	0	0	63	0	27498	0	0	0	8019	0	0	0	0	6	0	0	0	0	0	4702	0	0	0	11	0	0	0	0	0	115	0	46	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5807	0	0	0	0	2	0	1	0	0	0	0	0	34272	0	1	8	0	5243	8	0	0	6	5	12	0	0	7640	0	0	0	2	0	0	0	0	0	175	231	0	0	0	1704	0	0	0	22	0	0	2	0	0	0	0	0	2	0	7	52	0	0	0	595	367	0	0	49	0	2	0	0	0	630	0	0	0	0	0	0	0	4777	681	0	0	0	0	12039	0	0	0	0	0	0	0	0	0	0
I43	245	0	0	0	0	0	0	569	3381	0	6	0	0	0	0	43	0	0	0	0	0	0	0	4	7	0	649	0	24	0	0	73	0	0	997	10982	0	0	6	0	0	4	0	0	6	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	35	1	0	8	0	0	0	0	0	0	0	0	52729	0	3801	6	0	0	3977	0	143	0	116	48	0	0	0	0	0	0	2	0	89	0	8	0	0	0	0	0	2	0	892	76	0	0	0	0	0	6524	4	7	0	0	0	49	0	10639	0	2	0	4777	0	0	0	981	24	0	0	7	0	0	127	0	0	0	0	0	0	0	188	0	78	2690	279	4	0	0	476	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	27	0	0	0	2	0	0	0	0	2	0	0	11	177	0	5657	14	9	3272	0	0	0	0	174	2	0	0	5298	0	0	0	0	2	5	0	0	0	156	21	0	0	0	300	0	0	2	0	0	0	620	0	0	0	0	0	0	2	277	0	0	0	0	1	62	0	0	43	0	0	0	0	0	30	1	0	0	0	131	0	0	165	1920	2	0	0	0	4462	0	0	0	12	0	6644	4	0	0	0
I36	54	0	0	0	0	0	0	30	1943	0	9	0	0	0	4	3	0	0	0	0	0	0	0	2	4	0	124	0	21	0	0	84	0	0	19	6	0	0	73	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	1	4	0	0	0	0	0	0	0	0	0	43630	0	91	5	0	0	19996	0	697	0	97	46	0	0	0	0	0	0	80	0	260	0	2	0	0	0	0	0	0	0	280	416	0	0	0	0	0	2217	0	0	0	2	0	4	0	12874	76	2	0	1911	0	0	0	612	5	0	0	6	0	0	6	0	0	0	1	0	0	0	117	0	20	1387	218	3	0	1	215	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	2	0	0	0	1426	0	399	18	10	189	0	0	0	9	5	0	0	0	5147	0	1	0	2	0	0	0	0	0	5238	6	1	0	0	258	0	2	0	0	0	0	735	2	0	0	0	0	0	0	1010	3	0	0	0	10	89	0	0	4	0	0	0	0	0	44	2	0	0	0	4	0	2	653	939	3	0	0	0	3873	0	533	0	0	0	2022	0	0	0	0
I47	126	0	0	0	0	0	0	845	268	0	45	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	9712	0	0	0	0	0	0	0	111	17216	0	0	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	9	0	0	165	0	0	0	0	0	2	0	0	99579	0	5	22	0	0	5213	0	9	0	143	0	0	11	0	275	0	0	4	0	436	0	0	0	0	0	0	3	0	0	347	2	0	0	0	0	0	1427	0	0	0	0	0	4	0	9229	0	0	0	4653	0	0	0	0	9	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	12	3013	243	0	0	0	1541	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	22	60	0	5	0	3	2696	0	0	0	2	0	0	0	0	7572	0	0	0	2	0	0	0	0	0	358	68	0	0	0	2	0	0	2	0	0	0	85	0	0	0	0	0	0	0	260	0	0	0	0	4	197	0	0	11	0	0	0	0	0	11	0	0	0	0	0	0	0	2	1032	0	0	0	0	1441	0	1	0	0	2	5656	0	0	0	0
R229	757	0	0	0	0	0	0	111	6739	0	80	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	55	0	0	182	0	7	71	4	0	0	0	0	0	0	0	0	0	2	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	3537	2111	1	0	0	0	0	0	0	0	2744	0	2	6788	1	2	11	0	0	21245	0	3481	0	0	3	0	0	0	0	0	0	0	0	816	0	0	0	0	0	0	0	0	0	318	446	0	0	0	0	0	410	0	1	0	230	0	34	0	12613	83	0	8	2725	0	157	0	0	0	0	0	23	0	0	2	0	0	0	10	0	0	0	519	0	38	34	880	0	0	2	4646	0	0	0	0	0	0	0	0	0	42	2	0	0	0	0	0	25	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	29003	0	2	25	17	722	0	0	0	0	0	0	0	0	9729	0	0	0	0	262	3	0	0	0	857	1	0	0	0	479	0	0	0	1182	0	0	700	24	0	0	0	0	0	0	1855	0	16	0	0	59	75	0	2	0	0	0	0	0	0	89	0	0	3	0	4	0	0	7276	1840	34	0	0	0	4637	0	0	0	1	5214	11968	0	0	0	0
R257	2850	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	395	0	0	0	0	77	0	0	1	4	0	0	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	4	0	0	0	0	0	52	0	0	84	0	0	0	0	0	14619	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	10102	0	0	0	0	0	0	3	0	0	0	0	0	0	0	92	0	2	0	4361	0	0	0	0	4	0	2	0	0	0	6493	4	2	0	1	0	0	0	12	0	185	1	2	0	0	0	2949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6853	0	0	0	0	0	0	0	0	0	0	0	0	66186	0	2	0	0	413	1	0	0	0	0	0	0	0	4327	0	0	0	2	0	0	0	0	2	0	178	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7497	0	0	0	0	86	889	0	0	13	0	0	0	0	0	16	0	0	0	0	0	0	0	28	1	2	0	0	0	5776	0	1	2	1	24223	2	0	0	0	0
R222	0	0	0	0	0	0	0	4	143	0	5	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	29	0	0	136	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	12	0	0	0	0	0	0	0	0	54	0	0	0	0	0	23357	0	5898	0	1047	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	1958	0	0	0	0	0	0	10	4	0	0	0	0	0	0	21848	18	0	0	10	0	0	0	0	1	0	0	33	0	0	864	0	0	0	1	0	0	0	0	0	64	0	1	0	0	0	746	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38341	0	395	0	0	11526	0	0	0	4	91	335	0	0	2533	0	0	0	8	0	0	0	0	0	1	4	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5003	0	0	0	0	4	192	0	0	38	0	0	0	0	0	159	0	0	1644	0	0	0	0	0	4	0	0	0	0	5105	0	0	0	0	22411	3	0	0	0	0
R234	515	0	0	1073	0	0	0	448	4709	2	87	0	0	0	2	1	0	2	0	0	0	0	13	0	0	0	1560	0	213	0	0	26	0	5	87	2428	0	0	1	10	0	1	0	0	141	2	0	0	2	0	0	0	0	0	0	2	0	0	0	49	2	3	9	1	111	0	0	0	0	0	1	515	0	0	653	7	3	0	6	0	13913	0	2406	0	6	3	0	0	0	2	0	0	0	0	55	0	10	0	0	0	0	0	0	0	3075	1170	0	0	0	0	0	11050	0	0	0	425	0	191	0	4516	264	2	10	12425	0	350	0	0	249	0	0	55	0	0	4	0	0	0	12	0	3	0	2747	0	272	0	350	0	0	3	4166	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	841	0	0	0	3	2	1	7	0	4	0	0	0	22808	0	0	53	31	305	0	0	0	52	0	0	0	0	6506	20	0	0	4	61	0	0	0	2	1838	61	0	0	0	779	0	0	0	412	26	0	741	4	0	0	2	0	44	0	4365	56	0	0	0	109	134	0	0	3	0	0	2	0	4	242	0	0	98	0	1	0	0	9269	1335	45	0	0	0	10575	0	0	0	1	37	5	0	0	0	0
I44	234	0	0	0	0	0	0	848	828	0	1	0	0	4	0	66	0	0	0	0	0	0	0	0	0	0	2658	1	0	0	0	8	0	0	97	8165	0	0	161	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	49	0	0	0	0	0	0	0	0	82435	0	89	34	0	0	3138	0	25	0	112	5	0	34	0	51	0	23	1	0	232	0	2	0	0	0	0	0	5	0	2201	8	0	0	0	0	0	2500	0	0	0	0	0	12	0	11199	0	1	0	4230	0	0	0	0	38	0	0	1	0	0	2	0	0	0	0	0	0	0	4	0	4	2089	300	0	0	0	684	0	0	0	0	2	0	0	0	0	12	0	0	9	3	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	5	132	0	0	2	0	2171	0	0	0	0	0	0	0	0	7053	0	0	0	0	0	2	0	0	1	498	838	1	0	0	84	0	4	0	0	0	0	320	0	0	0	0	0	0	0	140	18	0	0	0	3	188	0	0	2	0	0	0	0	0	19	0	0	2	0	4	0	0	30	1234	1	0	0	0	1490	0	67	0	0	1	3347	0	0	0	0
I19	115	0	0	0	0	0	0	1306	701	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6762	0	0	0	0	6	0	0	144	6165	0	0	24	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	79	0	0	0	0	0	0	0	0	0	0	0	95758	0	8	10	0	0	4177	0	153	0	5152	6	0	0	0	0	0	0	3	0	1679	0	2	0	0	0	0	0	1	0	44	18	0	0	0	0	0	1167	0	0	0	6	0	4	0	10696	0	2	0	2137	0	0	0	0	156	0	0	3	0	0	44	1	0	0	0	0	0	0	0	0	24	105	154	0	0	0	555	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	373	0	0	0	2	5586	0	0	0	4	0	1	0	0	7168	0	0	0	4	0	0	0	0	0	389	50	0	0	0	133	0	0	0	0	0	0	1721	0	0	0	0	0	0	0	181	0	0	0	0	4	80	0	0	9	0	0	0	0	0	7	1	0	0	0	3	0	0	73	980	0	0	0	0	3415	0	688	0	0	2860	2465	0	0	0	0
I20	136	0	0	0	0	0	0	100	242	0	13	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	11458	0	0	0	1	2	0	0	472	8725	0	0	196	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	74810	2	27	10	0	0	3281	0	4	0	153	0	0	10	0	44	0	11	0	0	363	0	2	0	0	0	0	4	8	0	1886	2	0	0	0	0	0	713	4	0	0	0	0	0	0	6243	0	0	0	3385	0	0	0	0	14	0	0	4	0	0	94	0	3	0	0	0	0	0	0	0	51	1785	106	0	0	0	543	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	8	60	0	3686	0	0	2376	0	0	0	0	96	0	0	0	5363	0	0	0	0	0	1	0	0	0	400	174	0	2	0	36	0	0	2	10	0	0	365	1	0	0	0	0	0	0	320	0	0	0	0	1	118	0	0	11	0	0	0	0	0	10	0	0	1	0	0	0	0	0	644	0	0	0	0	2802	0	0	0	0	4	3974	0	0	0	0
I40	55	0	0	10	0	0	0	68	2135	0	11	0	0	0	0	5	0	0	0	0	0	0	0	0	4	0	2676	0	47	0	0	1	1	1	44	4	0	0	3254	0	0	0	0	3	2	1	0	0	0	0	12961	0	0	0	0	0	0	0	0	0	0	0	6	0	6	314	0	0	0	0	0	2	0	0	53260	0	315	4	0	1	16853	0	1403	0	212	2	0	0	0	5	0	0	23	0	2	0	2	0	0	0	0	15	1	0	1007	0	0	0	0	0	0	5661	0	0	0	91	0	21	0	8357	0	0	0	814	0	0	0	63	1	0	0	0	0	0	86	0	0	0	0	0	0	0	2	0	8	1748	188	0	0	1	151	0	6	0	1	0	0	1	0	0	14	0	0	5	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1400	0	5644	9	7	989	2	0	0	18	1876	0	0	0	8354	0	0	0	8	0	3	0	0	0	2546	15	0	14	0	91	0	0	0	12	0	0	1772	0	0	0	0	0	0	4	451	0	0	0	0	1	49	0	0	39	0	0	48	0	0	13	0	0	0	0	51	0	0	9	1287	1	0	0	0	7013	0	62	0	3	2	252	0	0	0	0
I51	8	6	0	0	0	0	0	128	398	0	4	0	8	0	2	4	0	0	0	0	0	0	8	4	0	0	83	0	0	0	0	578	0	6	0	11	0	0	14	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	1	0	0	0	0	0	704	0	0	186	1	1	0	0	0	37831	0	10776	0	0	34	0	0	0	0	0	0	0	0	3881	0	6	0	0	0	0	0	12	0	502	41	0	0	0	0	0	20	0	0	0	56	0	0	0	4868	198	0	0	4828	0	0	0	1	55	0	0	0	0	0	3	2	2	0	2	3	0	0	0	0	85	1	0	0	0	0	5055	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	24	0	0	1	0	0	0	0	0	32638	0	1	17	0	42	0	0	0	0	1	8	0	0	1499	0	0	0	0	0	0	0	0	0	6680	806	0	0	0	725	0	2	1	18	2	0	370	3	0	0	0	0	0	0	646	39	0	0	0	9	99	0	0	0	0	0	0	0	0	89	0	0	0	0	1	0	0	3864	1690	4	0	0	0	3134	0	10	0	0	0	2	0	0	0	0
R245	1	2	0	0	0	0	0	2229	16	0	0	0	0	0	4	0	0	0	0	0	1	0	0	6	1	0	1076	0	0	0	0	16	0	0	0	2	0	0	0	24	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	3	0	0	0	0	0	1379	0	37	44	0	1	0	0	0	26687	0	504	0	94	0	0	0	0	0	0	0	0	0	9238	0	6	0	0	0	0	0	0	0	2969	1	0	0	0	0	0	4	0	0	0	0	0	0	0	5982	0	0	0	11645	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	16	0	138	0	1	0	0	0	6409	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	23498	0	1	14	0	933	1	0	0	0	1	4	0	0	1789	0	0	0	29	14	0	0	0	0	20605	15	0	0	0	13	0	0	2	0	0	0	0	0	1	0	0	0	0	0	8953	44	0	0	0	0	207	0	0	34	0	0	0	0	0	38	0	0	19208	0	0	0	0	5	766	0	0	0	0	8491	0	0	0	0	4	3	0	0	0	0
I53	4	0	0	0	0	0	0	219	748	0	7	2	6	0	0	7	0	0	0	0	0	0	0	0	0	0	155	0	80	0	0	309	0	0	0	8	0	0	17	5	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	4	0	0	0	0	0	3478	0	3	144	0	0	1	0	0	32821	0	3691	0	2	0	0	0	0	0	0	0	0	0	2	2	7	0	0	0	0	0	0	0	949	586	0	0	0	0	0	15292	0	0	0	700	0	66	0	18295	162	2	6	6141	0	0	0	4	1631	0	0	0	0	0	18	0	0	0	7	0	0	0	1994	0	52	0	4379	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	721	0	0	0	0	0	1	0	0	0	0	0	0	49533	0	2	11	15	11	2	0	0	0	0	0	0	0	2670	0	0	0	6	12	0	0	0	0	490	2	0	0	0	917	0	0	2	43	0	0	4	24	0	0	0	0	0	0	4354	5	0	0	0	192	4	0	3	13	0	0	0	0	0	107	0	0	2	0	1	0	0	5035	2101	41	0	0	6	4640	0	2	3	0	1	1	0	0	0	0
R221	3	4	0	0	0	0	0	69	2697	0	10	0	20	0	5	0	0	0	0	0	0	0	2	0	0	0	22	0	0	0	0	183	0	2	0	1	0	0	0	0	0	1	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	533	0	0	0	0	0	0	0	0	0	866	0	0	52	0	6	52	4	0	12967	0	4337	0	1017	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	75	455	0	0	0	0	0	10181	0	0	0	148	0	62	0	30638	247	2	2	11869	0	0	0	0	208	0	0	10	0	0	20	0	0	0	5	0	0	0	2082	0	110	1	601	0	0	0	4375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	938	0	0	0	101	0	1	0	0	0	0	0	0	38181	0	1	23	8	2639	0	0	0	0	1	0	0	0	6696	13	16	0	0	0	0	0	0	2	3617	36	0	0	0	566	0	0	0	0	26	0	666	43	0	0	0	0	0	0	3302	0	0	0	0	149	162	0	0	2	0	4	0	0	0	524	0	0	0	0	28	0	0	7180	1051	64	0	0	0	5405	0	0	0	0	2783	0	0	0	0	0
R236	527	0	0	0	0	0	0	0	1219	0	5	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	11	0	0	986	0	0	0	5	0	0	0	6	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	2	0	0	0	0	0	0	0	0	0	0	26619	0	9	0	0	0	23609	0	2183	0	55	2	0	0	0	0	0	0	0	0	3122	0	0	0	0	0	0	0	0	0	343	433	0	0	0	0	0	251	2	0	0	104	0	16	0	12801	4	2	0	1293	0	0	0	0	100	0	0	7	0	0	0	0	0	0	6	0	0	0	0	0	119	1221	1568	0	0	1	550	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	536	0	0	0	4	0	0	2	0	0	0	0	0	24808	0	1	23	1	1197	0	0	0	0	0	0	0	0	10667	0	0	0	0	22	1	0	0	0	3888	2	0	0	0	1119	0	0	0	0	0	0	853	1	0	0	0	0	0	0	1455	6	0	0	0	51	126	0	0	0	0	0	0	0	0	378	0	0	0	0	1	0	0	869	2455	87	0	0	0	7725	0	0	0	0	5	3	0	0	0	0
