	Microdochium	Leptosphaeria	Armillaria	Itersonilia	Filobasidium	Cystofilobasidium	Udeniomyces	Phaeosphaeria	Acremonium	Rhodosporidium	Steccherinum	Ascochyta	Ceriporiopsis	Hyphodontia	Sporobolomyces	Alternaria	Diaporthe	Yarrowia	Davidiella	Pringsheimia	Strobilurus	Guehomyces	Entyloma	Malassezia	Mollisia	Kluyveromyces	Mastigobasidium	Agaricus	Eutypella	Peniophora	Bjerkandera	Kabatiella	Trichosporon	Aureobasidium	Cryptococcus	Bensingtonia	Neodeightonia	Leucosporidiella	Neurospora	Cladosporium	Tilletiopsis	Dioszegia	Aspergillus	Irpex	Trametes	Xylodon	Sistotrema	Penicillium	Gibberella	Chalastospora	Botrytis	Debaryomyces	Meyerozyma	Fusarium	Phoma	Wallemia	Candida	Ceratobasidium	Exophiala	Sarocladium	Monographella	Bulleromyces	Ustilago	Fomes	Saccharomyces	Bullera
s36_CD_remission	0.0117493472585	0.0598657217456	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0	0.0	0.10220067139127	0.0	0	0.0	0.0	0.00335695635957	0	0.0	0.0	0.0	0.160201417381095	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0.000372995151063	0	0	0	0	0.000745990302126	0.000186497575532	0	0.0	0.0	0.0	0.000932487877658	0.0	0	0.0	0	0	0	0.0	0.0	0.00671391271913	0.0	0.0	0.0	0.0102573666542	0.0
s37_CD_remission	0.000332115576221	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.000664231152441	0	0.0	0.0	0.00365327133843	0	0.0	0.0	0.000332115576221	0.361009631352121	0	0.0	0.0	0.0	0.0	0.06675523082035	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0.000664231152441	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.188973762869	0.0	0	0.0	0	0.000332115576221	0	0.0	0.0	0.000332115576221	0.0	0.0	0.0	0.159747592162	0.0
s38_CD_remission	0.00180897250362	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0.0	0.00271345875543	0	0.0	0.0	0.0	0.243125904485855	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.521345875542362	0.0	0	0.0	0	0.000361794500724	0	0.0	0.0	0.000723589001447	0.0	0.0	0.000723589001447	0.012481910275	0.0
s39_Healthy_Control	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.00193798449612	0.0	0	0.166860465116	0	0.0	0.0	0.000581395348837	0	0.0	0.0	0.0	0.145155038759612	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.307945736433612	0.0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s40_Healthy_Control	0.0	0	0.0	0.0	0.00399695470118	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.000380662352493	0	0.0	0.00266463646745	0	0	0.0	0.0	0.0	0.230300723258247	0	0.0	0.0	0.0	0.0	0	0	0.0	0.16749143509721	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.104301484583	0.0	0	0.0	0	0.100875523410247	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s41_Healthy_Control	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.26001031105	0.00326516583605	0.0	0.0	0.00051555250043	0	0.0	0.0	0.000171850833477	0.273070974394477	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0.00103110500086	0	0	0	0	0.0	0.0	0	0.0	0.00859254167383	0.0	0.135246605946	0.0	0	0.0	0.12373260010263	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s42_Healthy_Control	0.00205198358413	0.0371637026904	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0683994528044	0	0.0	0.0	0.004103967168265	0	0.0	0.0	0.0	0.085043319653415	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0.0107159142727	0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0	0.0565435476516	0	0.0	0	0.00113999088007	0	0.0	0.0	0.00205198358413	0.0	0.0	0.0	0.0	0.0
s43_Healthy_Control	0.00506373319364	0	0.0	0.0	0.00331761829928	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0.0	0.004016064257026	0	0.0	0.0	0.0	0.0609394098132	0	0.0	0.0	0.0	0.0	0	0	0.0	0.107386066003	0	0	0.0	0.0293347302252	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.122751877074	0.0	0.03230312554565	0.0	0	0	0	0.0	0.0	0.0024445608521	0.0	0.0	0.0	0.00349222978872	0.0
s44_Healthy_Control	0.00421851929973	0.00126555578992	0.0	0.0	0.0061168529846	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0.0	0.00126555578992	0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.413414891373	0.0	0	0.0	0	0.000632777894959	0	0.0	0.0	0.00210925964986	0.0	0.0	0.0	0.0333263024678	0.0
s45_Healthy_Control	0.0	0.00325299423333	0.0	0.0	0.0038444477303	0	0.0	0.0	0.0	0.0899009315393	0	0	0.0	0.08871802454533	0.147715510868	0.000739316871211	0.0	0.0	0.00147863374242	0	0.0	0.0	0.0	0.146680467248	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0.063729114298384	0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0736359603726	0.0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s46_Healthy_Control	0.0106211347136	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0.0	0.00443667652595	0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.292820650712211	0.0	0	0.000672223716053	0	0.00147889217532	0	0.0	0.0	0.005108900242	0.0	0.0	0.0	0.0	0.0
s47_Healthy_Control	0.00610420754306	0.00261608894702	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.000436014824504	0	0.0	0.0	0.00239808153477	0	0.0	0.0	0.0	0.332025288859322	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.254632657510252	0.0	0	0.0	0	0	0	0.0	0.0	0.00196206671027	0.0	0.0	0.0	0.0	0.0
