	Tilletiopsis	Skeletocutis	Ustilaginoidea	Nakaseomyces	Robbauera	Cystobasidium	Corynespora	Starmerella	Fusicolla	Periconia	Millerozyma	Elsinoe	Issatchenkia	Cyberlindnera	Dekkera	Ceriporia	Eichleriella	Exserohilum	Septoria	Kluyveromyces	Saprochaete	Cystofilobasidium	Rhizopus	Metschnikowia	Candida	Debaryomyces	Rhodotorula	Exophiala	Neodevriesia	Peniophora	Wickerhamomyces	Coprinellus	Flavodon	Entyloma	Nakazawaea	Sterigmatomyces	Malassezia	Tulasnella	Torulaspora	Naganishia	Coleophoma	Cochliobolus	Sphaerodes	Sarocladium	Aureobasidium	Bullera	Nigrospora	Colletotrichum	Phaeosphaeria	Zygosaccharomyces	Fusarium	Mycosphaerella	Curvularia	Schizophyllum	Protomyces	Wickerhamiella	Penicillium	Barnettozyma	Vishniacozyma	Recurvomyces	Wallemia	Phomatospora	Toxicocladosporium	Hanseniaspora	Helvella	Trichosporon	Violaceomyces	Kazachstania	Meyerozyma	Trichothecium	Tilletia	Symmetrospora	Ascotricha	Venturia	Betamyces	Bipolaris	Blumeria	Neurospora	Saccharomyces	Dissoconium	Kockovaella	Gibberella	Alternaria	Sporobolomyces	Bezerromyces	Xenoacremonium	Stachybotrys	Aspergillus	Pichia	Talaromyces	Lasiodiplodia	Sympodiomycopsis	Cladosporium	Catenaria	Lachancea	Parengyodontium	Phanerochaete	Sporidiobolus	Cryptococcus	Syspastospora	Xeromyces
sample-38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	11	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	55.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	23	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample-39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	9	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	1.0	0	0.0	0.0	0.0	32	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	420.0	0.0	5.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	47	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	41	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	37	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	74.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	2.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample-40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	6	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0	2.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	680.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	4	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample-41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9	0.0	0.0	0.0	0.0	97.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	783	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0	33	14.0	0	0.0	0.0	0.0	0	12.0	0	0.0	0.0	0.0	48.0	2.0	0.0	5	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	11212.0	0.0	82.0	0.0	0.0	0.0	13	0.0	0.0	68.0	0.0	89	0.0	14	48.0	0.0	0	0.0	0.0	31.0	68.0	0.0	0.0	0.0	0.0
sample-42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	3162.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample-43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	7	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	4393.0	0.0	0.0	0.0	0.0	0.0	100	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample-44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0	32273.0	0.0	0.0	0.0	0.0	0.0	41	0.0	0.0	21.0	0.0	106	0.0	0	0.0	0.0	0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0
sample-45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	3	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	11	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	28.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample-46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	95	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0	20.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	7459.0	0.0	4.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	193	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample-47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	46.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	76	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	462	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	31218.0	0.0	17.0	0.0	0.0	0.0	143	0.0	0.0	28.0	0.0	506	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
